INDEX,11FI05101,11FC05031,11FC05032,11FC05033,11FC05034,11FC05035,11FC05036,11FC05041,11FC05042,11FC05043,11FC05044,11FC05045,11FC05046,11TI05001,11TI05002,11TI05003,11TI05004,11TI05005,11TI05006,11TI05011,11TI05012,11TI05013,11TI05014,11TI05015,11TI05016,11TI05044,11TC05000
1/5/2016 13:37,52181.99609,8601.407227,8260.09082,8941.379883,8570.373047,8414.514648,9003.708008,4291.668945,4475.762207,4370.133301,4256.302246,4285.921875,4320.253906,616.0491943,621.4412231,626.87146,617.515564,622.2116089,624.4901733,831.4672852,836.5367889,836.5473022,838.1261597,837.9080811,837.0045166,1036.698975,837.6986694
1/5/2016 13:57,52168.71094,8612.791992,8287.826172,8937.192383,8562.666016,8444.938477,9001.427734,4294.294922,4470.705078,4396.421875,4285.07373,4324.366211,4303.626953,615.8201294,621.5969849,627.0351563,617.6651001,622.4294434,624.8000488,832.5818329,837.1590424,836.8346405,836.9259033,835.8985443,836.2622986,1035.333191,837.7141113
1/5/2016 14:17,52061.80469,8628.973633,8289.21875,8997.881836,8539.154297,8385.594727,8939.977539,4304.115234,4472.536621,4370.811035,4295.180176,4274.07666,4295.834473,615.8862305,621.6656494,627.1989136,617.6896362,622.6776733,625.1077881,834.1468964,837.2436981,836.2462006,836.2770844,836.4790802,836.8083649,1035.966736,837.7182617
1/5/2016 14:37,52100.53125,8656.574219,8268.75293,8925.560547,8529.87207,8394.047852,8958.585938,4289.13623,4470.312988,4364.396973,4271.213379,4346.478516,4336.067871,615.9523926,621.734314,627.2034302,617.7141113,622.9613647,625.3325195,832.0060577,836.5110931,836.6929169,838.1378021,837.2676544,835.9181519,1034.911926,837.7056274
1/5/2016 14:57,52022.56641,8647.881836,8279.771484,8925.197266,8533.982422,8391.170898,8928.175781,4264.756836,4425.571289,4352.969727,4290.540527,4274.640625,4292.396973,616.4725952,621.862915,627.1827393,617.8092651,623.2451172,625.557251,831.4048767,835.9145966,835.4347687,835.7073059,837.2064056,838.0310059,1036.139038,837.7104492
1/5/2016 15:17,52101.55859,8642.306641,8244.109375,8933.4375,8573.025391,8389.96582,8977.644531,4271.63623,4419.047363,4366.401855,4304.483887,4294.577637,4297.683105,616.8250122,622.0682983,627.1481934,617.9747314,623.2770996,625.7632446,832.9300537,837.0749207,834.6295624,834.7750397,838.6727295,840.4243164,1035.680786,837.7196045
1/5/2016 15:37,52155.78906,8663.553711,8246.90918,8921.570313,8591.316406,8433.982422,8982.422852,4302.070801,4445.594727,4351.540527,4260.321777,4339.606445,4317.342773,616.7391968,622.2718506,627.0985718,618.1402588,623.0162964,625.2782593,831.4648895,835.4327393,834.0112305,835.6397095,839.9998779,840.807373,1035.371277,837.8009033
1/5/2016 15:57,52210.44141,8624.908203,8254.939453,8890.239258,8575.066406,8443.510742,8995.910156,4279.246582,4486.447266,4337.693848,4261.625977,4318.240723,4304.90332,616.6533813,622.3479004,627.0490112,618.362793,622.7555542,624.7932739,832.1725159,838.1214905,836.5600128,835.4476929,836.0918121,837.0189209,1036.185486,837.9927368
1/5/2016 16:16,52129.62109,8629.233398,8243.324219,8946.041992,8582.129883,8443.896484,8994.84668,4295.234863,4472.430664,4350.591797,4293.15625,4313.594727,4323.17334,616.5621338,622.4239502,627.0630493,618.529541,622.7298584,624.8791504,832.8822174,836.7192841,835.8947754,836.649231,837.09758,837.6010895,1036.850159,838.1845703
1/5/2016 16:36,52208.71875,8636.567383,8266.140625,8958.449219,8614.487305,8398.546875,8997.52832,4287.936035,4472.736816,4352.490723,4281.257813,4340.80127,4336.318848,616.4596558,622.4972534,627.1454468,618.5037231,622.9769897,625.3692627,833.0639954,837.8135834,838.3756714,839.9548035,835.1728516,833.3099823,1035.64386,838.3260498
